,brand,processor,screen_size,ROM,RAM,display_size,num_rear_camera,num_front_camera,battery_capacity,ratings,sales_price
216,2,4,1,0.5555555555555556,8,6.4,4,1,0.5,4.4,20149
217,2,4,1,0.5555555555555556,6,6.4,4,1,0.5,4.3,18149
218,2,2,0,0.5555555555555556,4,6.5,3,1,0.875,4.4,10999
219,2,2,0,0.5555555555555556,4,6.5,3,1,0.875,4.4,10999
220,2,2,1,0.5555555555555556,6,6.4,3,1,0.4525000000000001,4.3,19999
221,2,2,0,0.1111111111111111,3,6.5,3,1,0.875,4.4,8999
222,2,2,1,0.5555555555555556,8,6.4,3,1,0.4525000000000001,4.3,22149
223,2,2,1,0.25925925925925924,4,6.2,2,1,0.4325000000000001,4.4,10499
224,2,4,1,0.5555555555555556,8,6.3,4,1,0.38375000000000004,4.5,16999
225,2,2,1,0.1111111111111111,3,6.2,2,1,0.4325000000000001,4.4,8499
226,2,4,1,0.5555555555555556,6,6.4,4,1,0.5,4.4,19999
227,2,2,0,0.5555555555555556,8,6.5,4,1,0.625,4.3,17999
228,2,4,1,0.5555555555555556,6,6.4,4,1,0.5,4.4,19999
229,2,4,1,0.5555555555555556,8,6.4,4,1,0.5,4.3,21999
230,2,4,1,0.5555555555555556,6,6.4,4,1,0.5,4.4,19999
231,2,4,1,0.25925925925925924,6,6.3,4,1,0.38375000000000004,4.5,14999
232,2,4,1,0.25925925925925924,6,6.3,4,1,0.38375000000000004,4.5,14999
233,2,2,0,0.25925925925925924,6,6.5,4,1,0.625,4.3,14999
234,2,2,0,0.5555555555555556,8,6.5,4,1,0.5,4.3,16999
235,2,4,0,0.5555555555555556,8,6.6,4,1,0.42500000000000004,4.3,27999
236,2,4,0,0.5555555555555556,6,6.6,4,1,0.42500000000000004,4.4,24999
237,2,2,0,0.25925925925925924,4,6.5,3,1,0.875,4.3,10499
238,2,2,0,0.25925925925925924,4,6.5,3,1,0.875,4.3,10499
239,2,2,0,0.5555555555555556,4,6.5,3,1,0.875,4.3,11499
240,2,2,0,0.25925925925925924,4,6.5,3,1,0.625,4.5,9999
241,2,4,0,0.5555555555555556,6,6.6,4,1,0.42500000000000004,4.4,24999
242,2,2,0,0.5555555555555556,4,6.5,3,1,0.875,4.3,11499
243,2,2,1,0.037037037037037035,2,6.1,2,1,0.375,4.4,6499
244,2,2,0,0.1111111111111111,3,6.5,3,1,0.625,4.5,8999
245,2,2,0,0.1111111111111111,3,6.5,3,1,0.625,4.5,8999
